Genus,Species,Family,Habitat,Length_cm,measurement,Trophic_lvl,Status,Lake,Region
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Kariba,southern africa
Brycinus,lateralis,Alestidae,pelagic,14,SL,3.5,native,Kariba,southern africa
Hydrocynus,vittatus,Alestidae,demersal,105,FL,3.7,native,Kariba,southern africa
Micralestes,acutidens,Alestidae,pelagic,9,SL,2.9,native,Kariba,southern africa
Micropterus,salmoides,Centrarchidae,benthopelagic,97,TL,3.8,introduced,Kariba,southern africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Kariba,southern africa
Oreochromis,andersonii,Cichlidae,benthopelagic,61,TL,2,native,Kariba,southern africa
Oreochromis,macrochir,Cichlidae,benthopelagic,43,TL,2.2,introduced,Kariba,southern africa
Oreochromis,mortimeri,Cichlidae,benthopelagic,48,TL,2.2,native,Kariba,southern africa
Oreochromis,mossambicus,Cichlidae,benthopelagic,39,SL,2.2,misidentification,Kariba,southern africa
Oreochromis,niloticus,Cichlidae,benthopelagic,60,SL,2,introduced,Kariba,southern africa
Pharyngochromis,acuticeps,Cichlidae,benthopelagic,12,TL,3.3,native,Kariba,southern africa
Pharyngochromis,darlingi,Cichlidae,demersal,22,TL,3.2,native,Kariba,southern africa
Pseudocrenilabrus,philander,Cichlidae,benthopelagic,13,TL,3.7,native,Kariba,southern africa
Sargochromis,carlottae,Cichlidae,demersal,34.5,SL,3.6,native,Kariba,southern africa
Sargochromis,codringtonii,Cichlidae,demersal,39,TL,3.1,native,Kariba,southern africa
Serranochromis,jallae,Cichlidae,demersal,39.6,SL,4.1,introduced,Kariba,southern africa
Serranochromis,macrocephalus,Cichlidae,demersal,35,SL,4.2,native,Kariba,southern africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Kariba,southern africa
Heterobranchus,longifilis,Clariidae,demersal,150,SL,3.7,native,Kariba,southern africa
Enteromius,fasciolatus,Cyprinidae,benthopelagic,6,SL,3,native,Kariba,southern africa
Enteromius,lineomaculatus,Cyprinidae,benthopelagic,8.6,SL,3,native,Kariba,southern africa
Enteromius,poechii,Cyprinidae,benthopelagic,11,SL,3.3,native,Kariba,southern africa
Enteromius,unitaeniatus,Cyprinidae,benthopelagic,14,SL,3.3,native,Kariba,southern africa
Labeo,altivelis,Cyprinidae,benthopelagic,49,TL,2,native,Kariba,southern africa
Labeo,congoro,Cyprinidae,benthopelagic,41.5,SL,2.2,native,Kariba,southern africa
Labeo,cylindricus,Cyprinidae,benthopelagic,25,SL,2,native,Kariba,southern africa
Labeobarbus,marequensis,Cyprinidae,benthopelagic,47,TL,3.2,native,Kariba,southern africa
Opsaridium,zambezense,Danionidae,benthopelagic,12,SL,3.4,native,Kariba,southern africa
Distichodus,mossambicus,Distichodontidae,pelagic,57,SL,3.2,native,Kariba,southern africa
Distichodus,schenga,Distichodontidae,pelagic,50,SL,2.1,native,Kariba,southern africa
Limnothrissa,miodon,Dorosomatidae,pelagic,17,SL,3.1,introduced,Kariba,southern africa
Kneria,auriculata,Kneriidae,benthopelagic,7,SL,2,native,Kariba,southern africa
Malapterurus,electricus,Malapteruridae,benthopelagic,122,SL,2.9,misidentification,Kariba,southern africa
Malapterurus,shirensis,Malapteruridae,benthopelagic,37.2,SL,3.5,native,Kariba,southern africa
Chiloglanis,neumanni,Mochokidae,benthopelagic,6.5,SL,2.8,native,Kariba,southern africa
Synodontis,nebulosus,Mochokidae,benthopelagic,15,SL,2.5,native,Kariba,southern africa
Synodontis,zambezensis,Mochokidae,benthopelagic,43,SL,2.7,native,Kariba,southern africa
Cyphomyrus,discorhynchus,Mormyridae,demersal,31,SL,3.2,native,Kariba,southern africa
Marcusenius,macrolepidotus,Mormyridae,demersal,32,TL,3.2,native,Kariba,southern africa
Mormyrops,anguilloides,Mormyridae,demersal,150,TL,3.8,native,Kariba,southern africa
Mormyrus,longirostris,Mormyridae,demersal,75,SL,3.3,native,Kariba,southern africa
Micropanchax,johnstoni,Procatopodidae,benthopelagic,8.5,TL,3.2,native,Kariba,southern africa
Protopterus,annectens,Protopteridae,demersal,100,TL,3.8,native,Kariba,southern africa
Schilbe,intermedius,Schilbeidae,pelagic,50,SL,3.6,native,Kariba,southern africa
Bryconaethiops,microstoma,Alestidae,pelagic,17.2,SL,3.2,error,Kivu,central africa
Hydrocynus,vittatus,Alestidae,demersal,105,FL,3.7,error,Kivu,central africa
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,questionable,Kivu,central africa
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Kivu,central africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,introduced,Kivu,central africa
Haplochromis,adolphifrederici,Cichlidae,benthopelagic,11.4,SL,3.4,endemic,Kivu,central africa
Haplochromis,astatodon,Cichlidae,benthopelagic,10.1,SL,3.3,endemic,Kivu,central africa
Haplochromis,crebridens,Cichlidae,benthopelagic,10.4,SL,3.3,endemic,Kivu,central africa
Haplochromis,gracilior,Cichlidae,benthopelagic,10.4,SL,3.3,endemic,Kivu,central africa
Haplochromis,graueri,Cichlidae,benthopelagic,11.8,SL,3.1,endemic,Kivu,central africa
Haplochromis,insidiae,Cichlidae,benthopelagic,9.4,SL,3.3,endemic,Kivu,central africa
Haplochromis,kamiranzovu,Cichlidae,benthopelagic,9.4,SL,2.1,endemic,Kivu,central africa
Haplochromis,microchrysomelas,Cichlidae,benthopelagic,8.3,SL,3.3,endemic,Kivu,central africa
Haplochromis,nigroides,Cichlidae,benthopelagic,7.5,SL,2.7,endemic,Kivu,central africa
Haplochromis,occultidens,Cichlidae,benthopelagic,12.3,SL,3.4,endemic,Kivu,central africa
Haplochromis,olivaceus,Cichlidae,benthopelagic,8.9,SL,2.1,endemic,Kivu,central africa
Haplochromis,paucidens,Cichlidae,benthopelagic,10.6,SL,3.3,endemic,Kivu,central africa
Haplochromis,rubescens,Cichlidae,benthopelagic,11.4,SL,3.4,endemic,Kivu,central africa
Haplochromis,scheffersi,Cichlidae,benthopelagic,8.5,SL,3.3,endemic,Kivu,central africa
Haplochromis,vittatus,Cichlidae,benthopelagic,19.1,SL,3.5,endemic,Kivu,central africa
Oreochromis,leucostictus,Cichlidae,benthopelagic,36.3,SL,2.3,introduced,Kivu,central africa
Oreochromis,macrochir,Cichlidae,benthopelagic,43,TL,2.2,introduced,Kivu,central africa
Oreochromis,mweruensis,Cichlidae,benthopelagic,23.8,SL,2.3,introduced,Kivu,central africa
Oreochromis,niloticus,Cichlidae,benthopelagic,60,SL,2,native,Kivu,central africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Kivu,central africa
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Kivu,central africa
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Kivu,central africa
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Kivu,central africa
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,questionable,Kivu,central africa
Enteromius,pellegrini,Cyprinidae,benthopelagic,11.7,SL,3,native,Kivu,central africa
Labeobarbus,altianalis,Cyprinidae,benthopelagic,90,TL,3.4,native,Kivu,central africa
Labeobarbus,somereni,Cyprinidae,benthopelagic,40,SL,3.2,native,Kivu,central africa
Raiamas,moorii,Danionidae,benthopelagic,22,TL,3.3,native,Kivu,central africa
Limnothrissa,miodon,Dorosomatidae,pelagic,17,SL,3.1,introduced,Kivu,central africa
Stolothrissa,tanganicae,Dorosomatidae,pelagic,10,SL,2.7,not established,Kivu,central africa
Gnathonemus,petersii,Mormyridae,demersal,35,SL,3.1,error,Kivu,central africa
Lacustricola,pumilus,Procatopodidae,benthopelagic,5.5,TL,2.9,misidentification,Kivu,central africa
Lamprichthys,tanganicanus,Procatopodidae,benthopelagic,15,SL,3.5,introduced,Kivu,central africa
Schilbe,grenfelli,Schilbeidae,demersal,50.7,SL,3.5,error,Kivu,central africa
Brycinus,lateralis,Alestidae,pelagic,14,SL,3.5,native,Liambezi,southwest africa
Hydrocynus,vittatus,Alestidae,demersal,105,FL,3.7,native,Liambezi,southwest africa
Rhabdalestes,maunensis,Alestidae,pelagic,8.5,TL,3.3,native,Liambezi,southwest africa
Ctenopoma,multispine,Anabantidae,benthopelagic,13.5,SL,3.8,native,Liambezi,southwest africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Liambezi,southwest africa
Oreochromis,andersonii,Cichlidae,benthopelagic,61,TL,2,native,Liambezi,southwest africa
Oreochromis,macrochir,Cichlidae,benthopelagic,43,TL,2.2,native,Liambezi,southwest africa
Pharyngochromis,darlingi,Cichlidae,demersal,22,TL,3.2,native,Liambezi,southwest africa
Pseudocrenilabrus,philander,Cichlidae,benthopelagic,13,TL,3.7,native,Liambezi,southwest africa
Sargochromis,carlottae,Cichlidae,demersal,34.5,SL,3.6,native,Liambezi,southwest africa
Sargochromis,codringtonii,Cichlidae,demersal,39,TL,3.1,native,Liambezi,southwest africa
Sargochromis,giardi,Cichlidae,benthopelagic,48,TL,3.5,native,Liambezi,southwest africa
Serranochromis,angusticeps,Cichlidae,demersal,41,SL,4.5,native,Liambezi,southwest africa
Serranochromis,jallae,Cichlidae,demersal,39.6,SL,4.1,native,Liambezi,southwest africa
Serranochromis,longimanus,Cichlidae,demersal,30,SL,3.9,native,Liambezi,southwest africa
Serranochromis,macrocephalus,Cichlidae,demersal,35,SL,4.2,native,Liambezi,southwest africa
Serranochromis,thumbergi,Cichlidae,demersal,33,TL,3.7,native,Liambezi,southwest africa
Tilapia,ruweti,Cichlidae,benthopelagic,10.4,TL,2.4,native,Liambezi,southwest africa
Tilapia,sparrmanii,Cichlidae,benthopelagic,23.5,TL,2.7,native,Liambezi,southwest africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Liambezi,southwest africa
Clarias,ngamensis,Clariidae,demersal,73,TL,4.3,native,Liambezi,southwest africa
Clarias,theodorae,Clariidae,demersal,35,SL,3.5,native,Liambezi,southwest africa
Coptostomabarbus,wittei,Cyprinidae,benthopelagic,4,SL,2.7,native,Liambezi,southwest africa
Enteromius,barnardi,Cyprinidae,benthopelagic,7,SL,2.6,native,Liambezi,southwest africa
Enteromius,barotseensis,Cyprinidae,benthopelagic,5,SL,3,native,Liambezi,southwest africa
Enteromius,bifrenatus,Cyprinidae,benthopelagic,7,SL,2.6,native,Liambezi,southwest africa
Enteromius,multilineatus,Cyprinidae,benthopelagic,4.5,SL,3,native,Liambezi,southwest africa
Enteromius,paludinosus,Cyprinidae,benthopelagic,15,SL,2.9,native,Liambezi,southwest africa
Enteromius,poechii,Cyprinidae,benthopelagic,11,SL,3.3,native,Liambezi,southwest africa
Enteromius,radiatus,Cyprinidae,benthopelagic,12,SL,2.8,native,Liambezi,southwest africa
Enteromius,unitaeniatus,Cyprinidae,benthopelagic,14,SL,3.3,native,Liambezi,southwest africa
Labeo,lunatus,Cyprinidae,benthopelagic,40,SL,2,native,Liambezi,southwest africa
Hepsetus,cuvieri,Hepsetidae,demersal,37,SL,3,native,Liambezi,southwest africa
Hepsetus,odoe,Hepsetidae,demersal,44.2,SL,4.1,misidentification,Liambezi,southwest africa
Synodontis,leopardinus,Mochokidae,benthopelagic,19.6,SL,3.7,native,Liambezi,southwest africa
Synodontis,macrostigma,Mochokidae,benthopelagic,17.1,TL,3.5,native,Liambezi,southwest africa
Synodontis,nigromaculatus,Mochokidae,benthopelagic,38.5,TL,3.3,native,Liambezi,southwest africa
Synodontis,woosnami,Mochokidae,benthopelagic,20.5,SL,2.4,native,Liambezi,southwest africa
Marcusenius,macrolepidotus,Mormyridae,demersal,32,TL,3.2,native,Liambezi,southwest africa
Mormyrus,lacerda,Mormyridae,demersal,50,TL,3.7,native,Liambezi,southwest africa
Petrocephalus,catostoma,Mormyridae,demersal,15,FL,3.4,misidentification,Liambezi,southwest africa
Petrocephalus,longicapitis,Mormyridae,demersal,11,SL,3.2,native,Liambezi,southwest africa
Lacustricola,hutereaui,Procatopodidae,benthopelagic,3.5,TL,3,native,Liambezi,southwest africa
Micropanchax,johnstoni,Procatopodidae,benthopelagic,8.5,TL,3.2,native,Liambezi,southwest africa
Brycinus,lateralis,Alestidae,pelagic,14,SL,3.5,native,Linyanti Swamp,southwest africa
Rhabdalestes,maunensis,Alestidae,pelagic,8.5,TL,3.3,native,Linyanti Swamp,southwest africa
Ctenopoma,multispine,Anabantidae,benthopelagic,13.5,SL,3.8,native,Linyanti Swamp,southwest africa
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,misidentification,Linyanti Swamp,southwest africa
Microctenopoma,intermedium,Anabantidae,benthopelagic,6.2,TL,3.2,misidentification,Linyanti Swamp,southwest africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Linyanti Swamp,southwest africa
Oreochromis,andersonii,Cichlidae,benthopelagic,61,TL,2,native,Linyanti Swamp,southwest africa
Oreochromis,macrochir,Cichlidae,benthopelagic,43,TL,2.2,native,Linyanti Swamp,southwest africa
Pharyngochromis,darlingi,Cichlidae,demersal,22,TL,3.2,native,Linyanti Swamp,southwest africa
Pseudocrenilabrus,philander,Cichlidae,benthopelagic,13,TL,3.7,native,Linyanti Swamp,southwest africa
Sargochromis,carlottae,Cichlidae,demersal,34.5,SL,3.6,native,Linyanti Swamp,southwest africa
Sargochromis,codringtonii,Cichlidae,demersal,39,TL,3.1,native,Linyanti Swamp,southwest africa
Sargochromis,giardi,Cichlidae,benthopelagic,48,TL,3.5,native,Linyanti Swamp,southwest africa
Sargochromis,greenwoodi,Cichlidae,demersal,30,SL,3.7,native,Linyanti Swamp,southwest africa
Serranochromis,angusticeps,Cichlidae,demersal,41,SL,4.5,native,Linyanti Swamp,southwest africa
Serranochromis,jallae,Cichlidae,demersal,39.6,SL,4.1,native,Linyanti Swamp,southwest africa
Serranochromis,macrocephalus,Cichlidae,demersal,35,SL,4.2,native,Linyanti Swamp,southwest africa
Serranochromis,thumbergi,Cichlidae,demersal,33,TL,3.7,native,Linyanti Swamp,southwest africa
Tilapia,ruweti,Cichlidae,benthopelagic,10.4,TL,2.4,native,Linyanti Swamp,southwest africa
Tilapia,sparrmanii,Cichlidae,benthopelagic,23.5,TL,2.7,native,Linyanti Swamp,southwest africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Linyanti Swamp,southwest africa
Clarias,ngamensis,Clariidae,demersal,73,TL,4.3,native,Linyanti Swamp,southwest africa
Clarias,theodorae,Clariidae,demersal,35,SL,3.5,native,Linyanti Swamp,southwest africa
Coptostomabarbus,wittei,Cyprinidae,benthopelagic,4,SL,2.7,native,Linyanti Swamp,southwest africa
Enteromius,barnardi,Cyprinidae,benthopelagic,7,SL,2.6,native,Linyanti Swamp,southwest africa
Enteromius,barotseensis,Cyprinidae,benthopelagic,5,SL,3,native,Linyanti Swamp,southwest africa
Enteromius,bifrenatus,Cyprinidae,benthopelagic,7,SL,2.6,native,Linyanti Swamp,southwest africa
Enteromius,fasciolatus,Cyprinidae,benthopelagic,6,SL,3,native,Linyanti Swamp,southwest africa
Enteromius,haasianus,Cyprinidae,benthopelagic,3.2,SL,3,native,Linyanti Swamp,southwest africa
Enteromius,lineomaculatus,Cyprinidae,benthopelagic,8.6,SL,3,native,Linyanti Swamp,southwest africa
Enteromius,multilineatus,Cyprinidae,benthopelagic,4.5,SL,3,native,Linyanti Swamp,southwest africa
Enteromius,paludinosus,Cyprinidae,benthopelagic,15,SL,2.9,native,Linyanti Swamp,southwest africa
Enteromius,poechii,Cyprinidae,benthopelagic,11,SL,3.3,native,Linyanti Swamp,southwest africa
Enteromius,thamalakanensis,Cyprinidae,benthopelagic,5,TL,2.6,native,Linyanti Swamp,southwest africa
Enteromius,unitaeniatus,Cyprinidae,benthopelagic,14,SL,3.3,native,Linyanti Swamp,southwest africa
Nannocharax,machadoi,Distichodontidae,pelagic,4,SL,3,native,Linyanti Swamp,southwest africa
Nannocharax,multifasciatus,Distichodontidae,pelagic,6,TL,2.8,native,Linyanti Swamp,southwest africa
Hepsetus,cuvieri,Hepsetidae,demersal,37,SL,3,native,Linyanti Swamp,southwest africa
Hepsetus,odoe,Hepsetidae,demersal,44.2,SL,4.1,misidentification,Linyanti Swamp,southwest africa
Synodontis,leopardinus,Mochokidae,benthopelagic,19.6,SL,3.7,native,Linyanti Swamp,southwest africa
Synodontis,macrostigma,Mochokidae,benthopelagic,17.1,TL,3.5,native,Linyanti Swamp,southwest africa
Synodontis,nigromaculatus,Mochokidae,benthopelagic,38.5,TL,3.3,native,Linyanti Swamp,southwest africa
Synodontis,woosnami,Mochokidae,benthopelagic,20.5,SL,2.4,native,Linyanti Swamp,southwest africa
Marcusenius,macrolepidotus,Mormyridae,demersal,32,TL,3.2,native,Linyanti Swamp,southwest africa
Mormyrus,lacerda,Mormyridae,demersal,50,TL,3.7,native,Linyanti Swamp,southwest africa
Pollimyrus,castelnaui,Mormyridae,demersal,7,SL,3.2,native,Linyanti Swamp,southwest africa
Lacustricola,hutereaui,Procatopodidae,benthopelagic,3.5,TL,3,native,Linyanti Swamp,southwest africa
Lacustricola,katangae,Procatopodidae,benthopelagic,5,TL,3.3,native,Linyanti Swamp,southwest africa
Micropanchax,johnstoni,Procatopodidae,benthopelagic,8.5,TL,3.2,native,Linyanti Swamp,southwest africa
Alestopetersius,hilgendorfi,Alestidae,pelagic,10,TL,3.1,native,Mai-Ndombe,central africa
Alestopetersius,leopoldianus,Alestidae,pelagic,9,TL,3.1,native,Mai-Ndombe,central africa
Alestopetersius,nigropterus,Alestidae,pelagic,6.5,SL,3.1,endemic,Mai-Ndombe,central africa
Bathyaethiops,greeni,Alestidae,pelagic,6,TL,3.1,native,Mai-Ndombe,central africa
Brachypetersius,altus,Alestidae,pelagic,6.5,TL,3.1,native,Mai-Ndombe,central africa
Brycinus,bimaculatus,Alestidae,pelagic,14,TL,3.1,native,Mai-Ndombe,central africa
Brycinus,grandisquamis,Alestidae,pelagic,26,SL,3.2,native,Mai-Ndombe,central africa
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Mai-Ndombe,central africa
Bryconaethiops,microstoma,Alestidae,pelagic,17.2,SL,3.2,native,Mai-Ndombe,central africa
Hydrocynus,vittatus,Alestidae,demersal,105,FL,3.7,native,Mai-Ndombe,central africa
Micralestes,humilis,Alestidae,pelagic,10.6,TL,3.1,native,Mai-Ndombe,central africa
Ctenopoma,pellegrini,Anabantidae,benthopelagic,11.2,TL,3.1,native,Mai-Ndombe,central africa
Microctenopoma,ansorgii,Anabantidae,benthopelagic,5.4,SL,3.2,native,Mai-Ndombe,central africa
Parachanna,insignis,Channidae,benthopelagic,53.2,TL,4,native,Mai-Ndombe,central africa
Hemichromis,elongatus,Cichlidae,benthopelagic,18.7,SL,3.7,native,Mai-Ndombe,central africa
Nanochromis,nudiceps,Cichlidae,demersal,7,TL,3.2,native,Mai-Ndombe,central africa
Nanochromis,transvestitus,Cichlidae,demersal,3.4,SL,3.1,endemic,Mai-Ndombe,central africa
Nanochromis,wickleri,Cichlidae,demersal,7,SL,3.3,endemic,Mai-Ndombe,central africa
Pterochromis,congicus,Cichlidae,demersal,15.2,SL,3.4,native,Mai-Ndombe,central africa
Rubricatochromis,cerasogaster,Cichlidae,benthopelagic,9,TL,3.3,endemic,Mai-Ndombe,central africa
Sarotherodon,nigripinnis,Cichlidae,demersal,18,SL,2.3,questionable,Mai-Ndombe,central africa
Tylochromis,lateralis,Cichlidae,benthopelagic,26,TL,3.1,native,Mai-Ndombe,central africa
Tylochromis,microdon,Cichlidae,benthopelagic,15.2,SL,2.8,questionable,Mai-Ndombe,central africa
Tylochromis,pulcher,Cichlidae,benthopelagic,22.9,SL,3.2,native,Mai-Ndombe,central africa
Citharinus,gibbosus,Citharinidae,pelagic,61,TL,2.2,native,Mai-Ndombe,central africa
Citharinus,macrolepis,Citharinidae,pelagic,75,TL,2.1,native,Mai-Ndombe,central africa
Clarias,gabonensis,Clariidae,demersal,36,TL,3.3,native,Mai-Ndombe,central africa
Heterobranchus,longifilis,Clariidae,demersal,150,SL,3.7,native,Mai-Ndombe,central africa
Chrysichthys,brevibarbis,Claroteidae,demersal,40,SL,3.3,native,Mai-Ndombe,central africa
Chrysichthys,cranchii,Claroteidae,demersal,150,TL,3.4,native,Mai-Ndombe,central africa
Chrysichthys,praecox,Claroteidae,demersal,6.3,SL,3.1,endemic,Mai-Ndombe,central africa
Chrysichthys,punctatus,Claroteidae,demersal,15.5,SL,3.2,native,Mai-Ndombe,central africa
Distichodus,altus,Distichodontidae,pelagic,15,TL,2.5,native,Mai-Ndombe,central africa
Distichodus,antonii,Distichodontidae,pelagic,55,TL,2.1,native,Mai-Ndombe,central africa
Distichodus,atroventralis,Distichodontidae,pelagic,35.7,SL,2.2,native,Mai-Ndombe,central africa
Distichodus,noboli,Distichodontidae,pelagic,19,TL,2.4,native,Mai-Ndombe,central africa
Distichodus,sexfasciatus,Distichodontidae,pelagic,76,SL,2.8,native,Mai-Ndombe,central africa
Ichthyborus,ornatus,Distichodontidae,pelagic,18,TL,3,native,Mai-Ndombe,central africa
Paraphago,rostratus,Distichodontidae,pelagic,13,TL,3,endemic,Mai-Ndombe,central africa
Phago,boulengeri,Distichodontidae,pelagic,17,TL,3,native,Mai-Ndombe,central africa
Xenocharax,crassus,Distichodontidae,benthopelagic,18.6,SL,3,native,Mai-Ndombe,central africa
Xenocharax,spilurus,Distichodontidae,pelagic,26,TL,2.9,misidentification,Mai-Ndombe,central africa
Nannothrissa,stewarti,Dorosomatidae,pelagic,2.3,SL,3,endemic,Mai-Ndombe,central africa
Hepsetus,microlepis,Hepsetidae,benthopelagic,30.5,SL,3,native,Mai-Ndombe,central africa
Hepsetus,odoe,Hepsetidae,demersal,44.2,SL,4.1,misidentification,Mai-Ndombe,central africa
Synodontis,angelicus,Mochokidae,benthopelagic,55,TL,2.8,native,Mai-Ndombe,central africa
Synodontis,greshoffi,Mochokidae,benthopelagic,26.6,TL,2.9,native,Mai-Ndombe,central africa
Campylomormyrus,alces,Mormyridae,demersal,36,TL,3.2,native,Mai-Ndombe,central africa
Cyphomyrus,psittacus,Mormyridae,demersal,30,TL,3.2,native,Mai-Ndombe,central africa
Genyomyrus,donnyi,Mormyridae,demersal,45,TL,3.2,native,Mai-Ndombe,central africa
Marcusenius,kutuensis,Mormyridae,demersal,19.5,SL,3.1,native,Mai-Ndombe,central africa
Marcusenius,leopoldianus,Mormyridae,demersal,27,TL,3.1,native,Mai-Ndombe,central africa
Marcusenius,schilthuisiae,Mormyridae,demersal,14.8,SL,3.1,native,Mai-Ndombe,central africa
Mormyrops,anguilloides,Mormyridae,demersal,150,TL,3.8,native,Mai-Ndombe,central africa
Mormyrops,lineolatus,Mormyridae,demersal,40,TL,3.2,native,Mai-Ndombe,central africa
Mormyrops,nigricans,Mormyridae,demersal,34,TL,3.2,native,Mai-Ndombe,central africa
Myomyrus,macrodon,Mormyridae,demersal,24,TL,3.2,native,Mai-Ndombe,central africa
Petrocephalus,sauvagii,Mormyridae,demersal,17.5,TL,3.3,native,Mai-Ndombe,central africa
Petrocephalus,simus,Mormyridae,demersal,12,TL,3.2,native,Mai-Ndombe,central africa
Pollimyrus,nigripinnis,Mormyridae,demersal,11,TL,3.2,native,Mai-Ndombe,central africa
Pollimyrus,plagiostoma,Mormyridae,demersal,17,TL,3.3,native,Mai-Ndombe,central africa
Stomatorhinus,humilior,Mormyridae,demersal,8,TL,3.1,native,Mai-Ndombe,central africa
Stomatorhinus,polylepis,Mormyridae,demersal,11,TL,3.1,native,Mai-Ndombe,central africa
Aphyosemion,elegans,Nothobranchiidae,benthopelagic,5,TL,3.2,native,Mai-Ndombe,central africa
Aphyosemion,pseudoelegans,Nothobranchiidae,pelagic,3.7,SL,3.2,native,Mai-Ndombe,central africa
Papyrocranus,afer,Notopteridae,demersal,80,TL,3.2,misidentification,Mai-Ndombe,central africa
Papyrocranus,congoensis,Notopteridae,demersal,29.2,SL,3.2,native,Mai-Ndombe,central africa
Xenomystus,nigri,Notopteridae,demersal,30,SL,3.3,native,Mai-Ndombe,central africa
Phractolaemus,ansorgii,Phractolaemidae,benthopelagic,25,TL,2.3,native,Mai-Ndombe,central africa
Polypterus,delhezi,Polypteridae,demersal,44,TL,3.2,native,Mai-Ndombe,central africa
Polypterus,retropinnis,Polypteridae,demersal,34,SL,2.6,native,Mai-Ndombe,central africa
Congopanchax,brichardi,Procatopodidae,benthopelagic,3,TL,3.1,native,Mai-Ndombe,central africa
Hylopanchax,leki,Procatopodidae,pelagic,2.9,SL,3.1,endemic,Mai-Ndombe,central africa
Hylopanchax,moke,Procatopodidae,pelagic,2.1,SL,3.1,native,Mai-Ndombe,central africa
Hylopanchax,ndeko,Procatopodidae,pelagic,3,SL,3.1,native,Mai-Ndombe,central africa
Parailia,congica,Schilbeidae,demersal,9,SL,3.2,native,Mai-Ndombe,central africa
Schilbe,laticeps,Schilbeidae,demersal,26.3,SL,3.4,native,Mai-Ndombe,central africa
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Malawi,southeast africa
Hemigrammopetersius,barnardi,Alestidae,pelagic,7,SL,3.4,native,Malawi,southeast africa
Amphilius,chalei,Amphiliidae,demersal,7,SL,3,native,Malawi,southeast africa
Zaireichthys,compactus,Amphiliidae,demersal,2.6,SL,3,native,Malawi,southeast africa
Zaireichthys,lacustris,Amphiliidae,benthopelagic,2.2,SL,3,endemic,Malawi,southeast africa
Zaireichthys,maravensis,Amphiliidae,benthopelagic,3.1,SL,3,endemic,Malawi,southeast africa
Zaireichthys,monomotapa,Amphiliidae,benthopelagic,4.1,SL,3,native,Malawi,southeast africa
Zaireichthys,rotundiceps,Amphiliidae,demersal,3.8,SL,3.4,misidentification,Malawi,southeast africa
Anguilla,labiata,Anguillidae,demersal,175,TL,3.8,native,Malawi,southeast africa
Bagrus,meridionalis,Bagridae,demersal,150,SL,3.9,native,Malawi,southeast africa
Bagrus,orientalis,Bagridae,demersal,44.7,TL,3.8,native,Malawi,southeast africa
Abactochromis,labrosus,Cichlidae,demersal,11.5,SL,3.4,endemic,Malawi,southeast africa
Alticorpus,geoffreyi,Cichlidae,benthopelagic,15.5,SL,2.7,endemic,Malawi,southeast africa
Alticorpus,macrocleithrum,Cichlidae,benthopelagic,12.7,SL,3.5,endemic,Malawi,southeast africa
Alticorpus,mentale,Cichlidae,benthopelagic,20.1,SL,2.7,endemic,Malawi,southeast africa
Alticorpus,peterdaviesi,Cichlidae,benthopelagic,15,TL,2,endemic,Malawi,southeast africa
Alticorpus,profundicola,Cichlidae,benthopelagic,12.4,SL,2.8,endemic,Malawi,southeast africa
Aristochromis,christyi,Cichlidae,benthopelagic,30,TL,4,endemic,Malawi,southeast africa
Astatotilapia,calliptera,Cichlidae,benthopelagic,15,SL,3,native,Malawi,southeast africa
Aulonocara,aquilonium,Cichlidae,benthopelagic,8.5,SL,3.5,native,Malawi,southeast africa
Aulonocara,auditor,Cichlidae,benthopelagic,8,SL,3.5,endemic,Malawi,southeast africa
Aulonocara,baenschi,Cichlidae,benthopelagic,13,TL,3.5,endemic,Malawi,southeast africa
Aulonocara,brevinidus,Cichlidae,benthopelagic,9.5,SL,3.5,endemic,Malawi,southeast africa
Aulonocara,brevirostre,Cichlidae,benthopelagic,8,SL,3.5,endemic,Malawi,southeast africa
Aulonocara,ethelwynnae,Cichlidae,benthopelagic,7.1,SL,3.5,endemic,Malawi,southeast africa
Aulonocara,gertrudae,Cichlidae,benthopelagic,11,SL,3.6,native,Malawi,southeast africa
Aulonocara,guentheri,Cichlidae,benthopelagic,15,TL,3.5,endemic,Malawi,southeast africa
