Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Mylochromis labidodon,,Cichlidae,benthopelagic,18.0 TL,3.5,endemic,Malawi
Mylochromis lateristriga,Basket hap,Cichlidae,benthopelagic,20.7 TL,3.5,endemic,Malawi
Mylochromis melanonotus,Haplochromis yellow black line,Cichlidae,demersal,26.0 TL,3.6,endemic,Malawi
Mylochromis melanotaenia,,Cichlidae,benthopelagic,20.0 TL,3.5,endemic,Malawi
Mylochromis mola,,Cichlidae,demersal,18.0 TL,3.6,endemic,Malawi
Mylochromis mollis,Softy hap,Cichlidae,benthopelagic,16.0 TL,3.5,endemic,Malawi
Mylochromis obtusus,,Cichlidae,benthopelagic,22.0 TL,3.6,endemic,Malawi
Mylochromis plagiotaenia,,Cichlidae,demersal,11.0 TL,3.4,endemic,Malawi
Mylochromis semipalatus,,Cichlidae,benthopelagic,18.5 TL,3.5,endemic,Malawi
Mylochromis sphaerodon,Roundtooth hap,Cichlidae,demersal,14.0 TL,3.5,endemic,Malawi
Mylochromis spilostichus,,Cichlidae,demersal,22.2 TL,4.2,endemic,Malawi
Naevochromis chrysogaster,,Cichlidae,demersal,17.9 TL,4,endemic,Malawi
Nimbochromis fuscotaeniatus,Fuscotaeniatus,Cichlidae,demersal,25.0 TL,4.2,endemic,Malawi
Nimbochromis linni,,Cichlidae,demersal,25.0 TL,4.2,endemic,Malawi
Nimbochromis livingstonii,,Cichlidae,demersal,25.0 TL,4.2,native,Malawi
Nimbochromis polystigma,,Cichlidae,demersal,23.0 TL,4.2,endemic,Malawi
Nimbochromis venustus,,Cichlidae,demersal,25.0 TL,4.2,endemic,Malawi
Nyassachromis boadzulu,,Cichlidae,benthopelagic,14.0 TL,3.4,endemic,Malawi
Nyassachromis breviceps,,Cichlidae,demersal,15.4 TL,2,endemic,Malawi
Nyassachromis leuciscus,Small green utaka,Cichlidae,demersal,16.0 TL,2.5,endemic,Malawi
Nyassachromis microcephalus,,Cichlidae,demersal,15.0 TL,3.4,endemic,Malawi
Nyassachromis nigritaeniatus,,Cichlidae,demersal,21.0 TL,3.4,endemic,Malawi
Nyassachromis prostoma,,Cichlidae,benthopelagic,11.5 TL,3.3,endemic,Malawi
Nyassachromis purpurans,,Cichlidae,demersal,18.0 TL,3.4,endemic,Malawi
Nyassachromis serenus,,Cichlidae,demersal,25.0 TL,3.4,endemic,Malawi
Oreochromis chungruruensis,Kiungululu tilapia,Cichlidae,benthopelagic,15.4 SL,2.4,endemic,Malawi
Oreochromis karongae,Karonga tilapia,Cichlidae,benthopelagic,42.0 TL,2,endemic,Malawi
Oreochromis leucostictus,Blue spotted tilapia,Cichlidae,benthopelagic,36.3 SL,2.3,introduced,Malawi
Oreochromis lidole,Lidole,Cichlidae,benthopelagic,38.0 SL,2.3,native,Malawi
Oreochromis niloticus,Nile tilapia,Cichlidae,benthopelagic,60.0 SL,2,introduced,Malawi
Oreochromis saka,,Cichlidae,benthopelagic,36.0 SL,2,endemic,Malawi
Oreochromis shiranus,Shire tilapia,Cichlidae,benthopelagic,39.0 SL,2.5,native,Malawi
Oreochromis squamipinnis,Kasawala,Cichlidae,benthopelagic,36.0 SL,2.1,endemic,Malawi
Otopharynx aletes,,Cichlidae,benthopelagic,10.7 SL,3.4,endemic,Malawi
Otopharynx alpha,,Cichlidae,benthopelagic,14.1 SL,3.4,endemic,Malawi
Otopharynx antron,,Cichlidae,demersal,9.9 SL,3.4,endemic,Malawi
Otopharynx argyrosoma,,Cichlidae,demersal,15.2 TL,3.5,endemic,Malawi
Otopharynx auromarginatus,Golden-margined hap,Cichlidae,demersal,24.5 TL,2,endemic,Malawi
Otopharynx brooksi,,Cichlidae,demersal,15.0 TL,4.2,endemic,Malawi
Otopharynx decorus,,Cichlidae,demersal,18.0 TL,3.5,endemic,Malawi
Otopharynx heterodon,Royal blue hap,Cichlidae,demersal,12.8 TL,3.4,endemic,Malawi
Otopharynx lithobates,,Cichlidae,demersal,16.0 TL,2,endemic,Malawi
