Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent
Synodontis,lucipinnis,Mochokidae,demersal,7.9,SL,2.9,endemic,Tanganyika,Africa
Synodontis,melanostictus,Mochokidae,demersal,23.7,SL,2.9,native,Tanganyika,Africa
Synodontis,multipunctatus,Mochokidae,benthopelagic,27.5,TL,3.4,endemic,Tanganyika,Africa
Synodontis,nigromaculatus,Mochokidae,benthopelagic,38.5,TL,3.3,misidentification,Tanganyika,Africa
Synodontis,petricola,Mochokidae,benthopelagic,10.2,TL,2.9,endemic,Tanganyika,Africa
Synodontis,polli,Mochokidae,benthopelagic,14.8,TL,2.9,endemic,Tanganyika,Africa
Synodontis,tanganyicae,Mochokidae,benthopelagic,56,TL,2.8,endemic,Tanganyika,Africa
Cyphomyrus,discorhynchus,Mormyridae,demersal,31,SL,3.2,native,Tanganyika,Africa
Gnathonemus,longibarbis,Mormyridae,demersal,36,TL,3.2,native,Tanganyika,Africa
Gnathonemus,petersii,Mormyridae,demersal,35,SL,3.1,native,Tanganyika,Africa
Marcusenius,stanleyanus,Mormyridae,demersal,21,TL,3.1,native,Tanganyika,Africa
Mormyrops,anguilloides,Mormyridae,demersal,150,TL,3.8,native,Tanganyika,Africa
Mormyrus,longirostris,Mormyridae,demersal,75,SL,3.3,native,Tanganyika,Africa
Pollimyrus,nigricans,Mormyridae,demersal,10,SL,3.4,native,Tanganyika,Africa
Polypterus,congicus,Polypteridae,demersal,97,TL,3.3,native,Tanganyika,Africa
Polypterus,ornatipinnis,Polypteridae,demersal,60,TL,3.7,native,Tanganyika,Africa
Lacustricola,pumilus,Procatopodidae,benthopelagic,5.5,TL,2.9,native,Tanganyika,Africa
Lamprichthys,tanganicanus,Procatopodidae,benthopelagic,15,SL,3.5,endemic,Tanganyika,Africa
Protopterus,aethiopicus,Protopteridae,demersal,200,TL,4.4,native,Tanganyika,Africa
Schilbe,durinii,Schilbeidae,demersal,6.5,SL,3.2,questionable,Tanganyika,Africa
Schilbe,intermedius,Schilbeidae,pelagic,50,SL,3.6,native,Tanganyika,Africa
Tetraodon,mbu,Tetraodontidae,demersal,67,TL,3.6,native,Tanganyika,Africa
Alestopetersius,leopoldianus,Alestidae,pelagic,9,TL,3.1,questionable,Victoria,Africa
Brycinus,jacksonii,Alestidae,pelagic,27,SL,3.2,native,Victoria,Africa
Brycinus,macrolepidotus,Alestidae,pelagic,53,SL,2.8,questionable,Victoria,Africa
Brycinus,nurse,Alestidae,pelagic,25,TL,2.5,misidentification,Victoria,Africa
Brycinus,sadleri,Alestidae,pelagic,13.8,TL,3.2,native,Victoria,Africa
Amphilius,jacksonii,Amphiliidae,demersal,15,TL,3,native,Victoria,Africa
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,questionable,Victoria,Africa
Amphilius,lujani,Amphiliidae,demersal,12,SL,3,native,Victoria,Africa
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Victoria,Africa
Zaireichthys,rotundiceps,Amphiliidae,demersal,3.8,SL,3.4,questionable,Victoria,Africa
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,native,Victoria,Africa
Anguilla,anguilla,Anguillidae,demersal,133,TL,3.5,introduced,Victoria,Africa
Bagrus,degeni,Bagridae,demersal,55,TL,4.2,endemic,Victoria,Africa
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Victoria,Africa
Micropterus,dolomieu,Centrarchidae,benthopelagic,69,TL,3.6,introduced,Victoria,Africa
Micropterus,salmoides,Centrarchidae,benthopelagic,97,TL,3.8,introduced,Victoria,Africa
Astatoreochromis,alluaudi,Cichlidae,benthopelagic,19,SL,3.6,native,Victoria,Africa
Astatotilapia,burtoni,Cichlidae,benthopelagic,15,SL,3,native,Victoria,Africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,introduced,Victoria,Africa
Coptodon,zillii,Cichlidae,benthopelagic,40,SL,2.5,introduced,Victoria,Africa
Haplochromis,acidens,Cichlidae,benthopelagic,12.8,SL,3,endemic,Victoria,Africa
Haplochromis,aelocephalus,Cichlidae,benthopelagic,12,SL,3.3,endemic,Victoria,Africa
Haplochromis,altigenis,Cichlidae,benthopelagic,20.2,SL,4.2,endemic,Victoria,Africa
Haplochromis,ampullarostratus,Cichlidae,benthopelagic,7.2,SL,3.3,endemic,Victoria,Africa
Haplochromis,antleter,Cichlidae,demersal,7,SL,3.3,endemic,Victoria,Africa
Haplochromis,apogonoides,Cichlidae,benthopelagic,13.2,SL,3.4,native,Victoria,Africa
Haplochromis,arcanus,Cichlidae,benthopelagic,14.2,SL,4.2,endemic,Victoria,Africa
Haplochromis,argens,Cichlidae,pelagic,7.6,SL,3.3,endemic,Victoria,Africa
Haplochromis,argenteus,Cichlidae,benthopelagic,20.2,SL,3.6,native,Victoria,Africa
Haplochromis,artaxerxes,Cichlidae,benthopelagic,14.7,SL,3.6,endemic,Victoria,Africa
Haplochromis,azureus,Cichlidae,demersal,9.6,SL,3.4,native,Victoria,Africa
Haplochromis,barbarae,Cichlidae,benthopelagic,10.6,SL,4,native,Victoria,Africa
Haplochromis,bareli,Cichlidae,benthopelagic,12.5,SL,4.2,endemic,Victoria,Africa
Haplochromis,bartoni,Cichlidae,benthopelagic,19.5,SL,4.2,endemic,Victoria,Africa
Haplochromis,bayoni,Cichlidae,benthopelagic,15.4,SL,4.2,endemic,Victoria,Africa
Haplochromis,bicolor,Cichlidae,demersal,15,SL,3.6,endemic,Victoria,Africa
Haplochromis,boops,Cichlidae,benthopelagic,19.4,SL,4.2,endemic,Victoria,Africa
Haplochromis,brownae,Cichlidae,benthopelagic,10.4,SL,3.9,endemic,Victoria,Africa
Haplochromis,bwathondii,Cichlidae,pelagic,8.2,SL,3.3,endemic,Victoria,Africa
Haplochromis,cassius,Cichlidae,benthopelagic,9.8,SL,3.4,endemic,Victoria,Africa
Haplochromis,cavifrons,Cichlidae,benthopelagic,19.5,SL,4.2,endemic,Victoria,Africa
Haplochromis,chilotes,Cichlidae,benthopelagic,14.8,SL,3.2,native,Victoria,Africa
Haplochromis,chlorochrous,Cichlidae,benthopelagic,12,SL,3.6,endemic,Victoria,Africa
Haplochromis,chromogynos,Cichlidae,benthopelagic,11,SL,3.2,endemic,Victoria,Africa
Haplochromis,chrysogynaion,Cichlidae,benthopelagic,9.1,SL,4.2,endemic,Victoria,Africa
Haplochromis,cinctus,Cichlidae,benthopelagic,8.8,SL,2,endemic,Victoria,Africa
Haplochromis,cinereus,Cichlidae,benthopelagic,8.1,SL,2.6,endemic,Victoria,Africa
Haplochromis,cnester,Cichlidae,benthopelagic,8.1,SL,3.3,endemic,Victoria,Africa
Haplochromis,commutabilis,Cichlidae,benthopelagic,10.4,SL,3.3,endemic,Victoria,Africa
Haplochromis,coprologus,Cichlidae,benthopelagic,7.5,SL,3.3,endemic,Victoria,Africa
Haplochromis,crassilabris,Cichlidae,benthopelagic,15,TL,3.2,endemic,Victoria,Africa
Haplochromis,crocopeplus,Cichlidae,benthopelagic,10.1,SL,3.6,endemic,Victoria,Africa
Haplochromis,cronus,Cichlidae,benthopelagic,13.5,SL,4,native,Victoria,Africa
Haplochromis,cryptodon,Cichlidae,benthopelagic,13,SL,4,endemic,Victoria,Africa
Haplochromis,cryptogramma,Cichlidae,benthopelagic,9.4,SL,3.4,endemic,Victoria,Africa
Haplochromis,cyaneus,Cichlidae,benthopelagic,10.7,SL,2.6,endemic,Victoria,Africa
